# Server version 0.08 running on 10.3.89.85:8123
# Game ID: 116
# Board class: hus.HusBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Mon Apr 11 21:58:40 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260526672', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260526672
PIT 0 11
PIT 1 0
PIT 0 2
PIT 1 19
PIT 0 17
PIT 1 26
PIT 0 15
PIT 1 9
PIT 0 8
PIT 1 18
PIT 0 24
PIT 1 17
PIT 0 1
PIT 1 25
PIT 0 0
PIT 1 18
PIT 0 3
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Mon Apr 11 21:59:22 EDT 2016
