# Server version 0.08 running on 192.168.2.26:8123
# Game ID: 132
# Board class: hus.HusBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Tue Apr 12 04:09:18 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260526672', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260526672
PIT 0 8
PIT 1 0
PIT 0 2
PIT 1 12
PIT 0 20
PIT 1 18
PIT 0 12
PIT 1 4
PIT 0 23
PIT 1 13
PIT 0 17
PIT 1 14
PIT 0 27
PIT 1 9
PIT 0 5
PIT 1 21
PIT 0 1
PIT 1 29
PIT 0 9
PIT 1 28
PIT 0 0
PIT 1 12
PIT 0 18
PIT 1 27
PIT 0 21
PIT 1 2
PIT 0 23
PIT 1 26
PIT 0 31
PIT 1 10
PIT 0 0
PIT 1 4
PIT 0 27
PIT 1 14
PIT 0 29
PIT 1 20
PIT 0 13
PIT 1 2
PIT 0 4
PIT 1 16
PIT 0 10
PIT 1 21
PIT 0 5
PIT 1 0
PIT 0 11
PIT 1 24
PIT 0 6
PIT 1 12
PIT 0 7
PIT 1 7
PIT 0 12
PIT 1 20
PIT 0 10
PIT 1 21
PIT 0 13
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Tue Apr 12 04:09:20 EDT 2016
